Product Title,Product Description,Product UID,Print File URL,Should Publish Images?
Posters with hangers — hor,"Personalised posters with hangers from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",wall_hanging_poster_1010-mm_black_wood_w14xt20-mm_28x40-inch-700x1000-mm_170-gsm-65lb-coated-silk_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Posters with hangers — hor,"Personalised posters with hangers from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",wall_hanging_poster_1010-mm_black_wood_w14xt20-mm_28x40-inch-700x1000-mm_170-gsm-65lb-uncoated_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Posters with hangers — hor,"Personalised posters with hangers from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",wall_hanging_poster_1010-mm_black_wood_w14xt20-mm_28x40-inch-700x1000-mm_200-gsm-80lb-coated-silk_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Posters with hangers — hor,"Personalised posters with hangers from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",wall_hanging_poster_1010-mm_black_wood_w14xt20-mm_28x40-inch-700x1000-mm_200-gsm-80lb-uncoated_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Posters with hangers — hor,"Personalised posters with hangers from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",wall_hanging_poster_1010-mm_black_wood_w14xt20-mm_28x40-inch-700x1000-mm_250-gsm-100lb-uncoated-offwhite-archival_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Posters with hangers — hor,"Personalised posters with hangers from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",wall_hanging_poster_1010-mm_black_wood_w14xt20-mm_30x40-inch-750x1000-mm_170-gsm-65lb-coated-silk_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Posters with hangers — hor,"Personalised posters with hangers from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",wall_hanging_poster_1010-mm_black_wood_w14xt20-mm_30x40-inch-750x1000-mm_170-gsm-65lb-uncoated_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Posters with hangers — hor,"Personalised posters with hangers from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",wall_hanging_poster_1010-mm_black_wood_w14xt20-mm_30x40-inch-750x1000-mm_200-gsm-80lb-coated-silk_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Posters with hangers — hor,"Personalised posters with hangers from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",wall_hanging_poster_1010-mm_black_wood_w14xt20-mm_30x40-inch-750x1000-mm_200-gsm-80lb-uncoated_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Posters with hangers — hor,"Personalised posters with hangers from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",wall_hanging_poster_1010-mm_black_wood_w14xt20-mm_30x40-inch-750x1000-mm_250-gsm-100lb-uncoated-offwhite-archival_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
Posters with hangers — hor,"Personalised posters with hangers from Pixora. Upload your photo, preview on a live product mockup, and we print and ship premium quality to your door. Ideal for home décor or gifting.",wall_hanging_poster_1010-mm_black_wood_w14xt20-mm_700x1000-mm-28x40-inch_170-gsm-65lb-coated-silk_4-0_hor,https://upload.wikimedia.org/wikipedia/commons/c/ca/1x1.png,Yes
